lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName,nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_10026,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3276.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/3276.JPG,Zeichnung; Zeichnung,Feder; Feder,,1614,1614,,"Braun, Augustin",,Künstler_in,1570,1641,Wien,Rosenkranzmadonna und Anbetung der Könige,,https://creativecommons.org/publicdomain/mark/1.0/,3276,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10026,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[3276]&showtype=record'],Production,"['Tusche, Feder, laviert']","['M.u. ""Anno 1614. AB""']",[]
gnd2012512-4/lido/tms_10109,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/13379.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/13379.JPG,Zeichnung; Zeichnung,,,1716,1761,,"Querfurt, August",,Künstler_in,1696,1761,Wien,Reiterschlacht,,https://creativecommons.org/publicdomain/mark/1.0/,13379,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10109,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[13379]&showtype=record'],Production,"['Rötel, Feder in Braun mit Graulavierungen']",['l. u. Herzog Albert von Sachsen-Teschen (Lugt 174)'],[]
gnd2012512-4/lido/tms_10150,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/4281.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/4281.JPG,Zeichnung; Zeichnung,Feder; Feder; laviert; laviert,,1719,1741,,"Sperling, Catharina",,Künstler_in,1699-04-10,1741-05-28,Wien,Moden der Stadt Augsburg (36 Kostümblattentwürfe): Femme sortant en Eté,,https://creativecommons.org/publicdomain/mark/1.0/,4281,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_10150,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[4281]&showtype=record'],Production,"['Feder in Grau, laviert']",['l. u. Herzog Albert von Sachsen-Teschen (Lugt 174)'],[]
gnd2012512-4/lido/tms_101610,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_106.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_106.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1506,1554,,"Cranach, Lucas, der Ältere",,Künstler_in,1472,1553-10-16,Wien,Der heilige Christophorus,,https://creativecommons.org/publicdomain/mark/1.0/,DG1929/106,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101610,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1929/106]&showtype=record'],Expression Creation,['Holzschnitt'],"['l.o. ""L C"" mit Schlangensignet']",[]
gnd2012512-4/lido/tms_101657,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_111.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1929_111.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1506,1506,,"Cranach, Lucas, der Ältere",,Künstler_in,1472,1553-10-16,Wien,Venus und Amor,,https://creativecommons.org/publicdomain/mark/1.0/,DG1929/111,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101657,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1929/111]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.o. ""L / 1506 / C""']",[]
gnd2012512-4/lido/tms_101733,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1749.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1749.jpg,Druckgraphik; Druckgraphik,Radierung; Radierung (Druckverfahren),,1514,1524,,"Altdorfer, Albrecht",,Künstler_in,1480,1538-02-12,Wien,Das Innere der Regensburger Synagoge,,https://creativecommons.org/publicdomain/mark/1.0/,DG1926/1749,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101733,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1926/1749]&showtype=record'],Expression Creation,['Radierung'],"['M.u. ""AA"", in der Inschrift "".D.XIX.""']",[]
gnd2012512-4/lido/tms_101735,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1701.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1701.jpg,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1514,1524,,"Altdorfer, Albrecht",,Künstler_in,1480,1538-02-12,Wien,Maria sucht ihren Sohn in der Synagoge,,https://creativecommons.org/publicdomain/mark/1.0/,DG1926/1701,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101735,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1926/1701]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. ""AA""']",[]
gnd2012512-4/lido/tms_101736,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1700.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1700.jpg,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1507,1517,,"Altdorfer, Albrecht",,Künstler_in,1480,1538-02-12,Wien,"Der heilige Sebastian, an eine Säule gebunden",,https://creativecommons.org/publicdomain/mark/1.0/,DG1926/1700,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101736,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1926/1700]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""AA""']",[]
gnd2012512-4/lido/tms_101737,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1703.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1703.jpg,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1515,1525,,"Altdorfer, Albrecht",,Künstler_in,1480,1538-02-12,Wien,Horatius Cocles springt in den Tiber,,https://creativecommons.org/publicdomain/mark/1.0/,DG1926/1703,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101737,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1926/1703]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""AA""']",[]
gnd2012512-4/lido/tms_101738,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1704.jpg&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1926_1704.jpg,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1515,1525,,"Altdorfer, Albrecht",,Künstler_in,1480,1538-02-12,Wien,"Neptun, auf einer Meeresschlange liegend",,https://creativecommons.org/publicdomain/mark/1.0/,DG1926/1704,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_101738,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1926/1704]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. ""AA""']",[]
