lidoRecordId,imageUrl,type,material,displayDate,earliestDate,latestDate,subject,artistName (preferred),nationality,role,birth,death,location,title,classification,rightsStatement,workID,repositoryName,recordID,recordLinks,eventType,displayMaterialsTech,inscriptions,relatedWorkNotes
gnd2012512-4/lido/tms_100565,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_340.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1934_340.JPG,Druckgraphik; Druckgraphik,Holzschnitt; Holzschnitt (Druckverfahren),,1503,1513,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Christus am Ölberg (Kleine Passion, verworfenes Blatt)",,https://creativecommons.org/publicdomain/mark/1.0/,DG1934/340,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100565,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1934/340]&showtype=record'],Expression Creation,['Holzschnitt'],"['r.u. Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100607,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1375.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1375.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1508,1508,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Maria mit der Sternenkrone,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1375,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100607,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1375]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. ""1508"" Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100615,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1391.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1391.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1514,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der Apostel Thomas,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1391,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100615,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1391]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""1514"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100616,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1389.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1389.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1523,1526,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der Apostel Philippus,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1389,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100616,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1389]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""1526"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100617,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1390.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1390.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1523,1523,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der Apostel Bartholomäus,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1390,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100617,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1390]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""1523"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100618,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1392.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1392.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1523,1523,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der Apostel Simon,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1392,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100618,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1392]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. ""1523"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100619,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1393.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1393.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1514,1514,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der Apostel Paulus,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1393,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100619,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1393]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. ""1514"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100620,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1394.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1394.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1521,1521,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der heilige Christophorus mit zurückgewandtem Kopf,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1394,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100620,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1394]&showtype=record'],Expression Creation,['Kupferstich'],"['r.u. ""1521"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100621,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1395.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1395.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1521,1521,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,"Der heilige Christophorus, nach rechts schauend",,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1395,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100621,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1395]&showtype=record'],Expression Creation,['Kupferstich'],"['l.u. ""1521"" und Dürer-Monogramm ""AD""']",[]
gnd2012512-4/lido/tms_100622,http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1398.JPG&width=350; http://sammlungenonline.albertina.at/cc/imageproxy.ashx?server=localhost&port=15001&filename=images/DG1930_1398.JPG,Druckgraphik; Druckgraphik,Kupferstich; Kupferstich (Druckverfahren); Kupferstich (Druckverfahren),,1500,1502,,"Dürer, Albrecht",,Künstler_in,1471-05-21,1528-04-06,Wien,Der heilige Sebastian am Baume,,https://creativecommons.org/publicdomain/mark/1.0/,DG1930/1398,"['Albertina', 'Wien, Albertina', 'Albertina']",tms_100622,['http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG1930/1398]&showtype=record'],Carrier production,"['Wasserzeichen: Hohe Krone (Briquet 4892-4896 [nachgewiesen 1484-1499]; Meder 20 [ab ca. 1495 für Stiche und Holzschnitte verwendet]; Strauss S. 3285 [verwendet ab 1490])', 'Kupferstich']","['M.r. Dürer-Monogramm ""AD""']",[]
