artistGNDId,artistName (preferred),placeOfBirth,birth year,num_works,birth_year_span_start
100076262,"Caylus, Anne Claude Philippe de",Paris,1692,24,1650
100104401,"Dequevauviller, François",Abbeville,1745,1,1700
100648916,"Collas, Achille",Paris,1795,3,1750
100786294,"Porret, Henri Désiré",Lille,1800,6,1800
100811833,"Kraus, Johann Ulrich",Augsburg,1655,48,1650
100811957,Anonym,Haarlem,1537,1,1500
100811957,"Anonym, niederländisch, 16. Jahrhundert",Haarlem,1501,17,1500
100811957,"Cleve III., Hendrik van",Haarlem,1525,2,1500
100811957,"Galle, Philippe",Haarlem,1537,56,1500
1011377616,"Loutrel, Victor Jean Baptiste",Antwerpen,1821,1,1800
1011425661,"Thomassin, Simon Henri",Paris,1687,10,1650
1011425890,"Surugue, Louis",Paris,1686,5,1650
101206003,"Heiden, Jan van der, de Oude",Gorinchem,1637,1,1600
101211376,"Jode, Pieter de",Antwerpen,1570,24,1550
101400268,"Gilbert, Achille Isidore",Paris,1828,1,1800
1014141672,"Joyau, Amédée",Nantes,1871,3,1850
1015473474,"Beltrand, Jacques",Paris,1874,1,1850
1015704646,"Vidal, Pierre",Tours,1849,14,1800
1015991920,"Halbou, Louis Michel",Paris,1730,2,1700
1017908443,"Pluth, Caspar",Prag,1766,1,1750
101911629,"Delafosse, Jean-Baptiste",Paris,1721,2,1700
1019536659,"Schwemminger, Joseph",Wien,1804,1,1800
1019741066,"Anonym, französisch, 17. Jahrhundert",Caen,1601,1,1600
1019741066,"Lasne, Michel",Caen,1590,7,1550
1019743069,"Gantrel, Etienne",Toul (Dép.Meurthe-et-Moselle) (od. Metz?),1645,1,1600
1019745665,"Pesne, Jean",Rouen,1623,9,1600
1019747315,"Nijmegen, Dionys van",Rotterdam,1705,1,1700
101975057X,"Simon, Pierre",Paris,1635,1,1600
1019756551,"Woollett, William",Maidstone,1735,2,1700
1019758406,"Vivarès, François",Lodève,1709,3,1700
1020481161,"Schalch, Johann Jakob",Schaffhausen,1723,1,1700
1021696404,"Ambrosi, Francesco",Bassano del Grappa,1751,1,1750
1022471392,"Cochin, Louise-Madeleine",Paris,1686,2,1650
102334331,"Anonym, niederländisch, 17. Jahrhundert",Leiden,1601,1,1600
102334331,"Swanenburg, Willem",Leiden,1580,9,1550
102359229,"Anonym, deutsch, 15. Jahrhundert",Straßburg,1401,3,1400
1023881780,"Stimmer, Hans Christoffel",Schaffhausen,1549,8,1500
1023896532,"Quesnel, François",Edinburgh,1543,1,1500
102430896,Anonym,Köln,1500,8,1500
102430896,"Anonym, deutsch, 16. Jahrhundert",Köln,1501,6,1500
102430896,"Binck, Jakob",Köln,1500,114,1500
102430896,Monogrammist IVM,Köln,1501,1,1500
102430896,Monogrammist RE,Köln,1501,1,1500
102431108,"Basan, François",Paris,1723,16,1700
102431655,"Canot, Pierre Charles",Paris,1710,15,1700
102433275,"Bergeret, Pierre Nolasque",Bordeaux,1782,3,1750
102440263,"Boucher Desnoyers, Auguste Gaspard Louis",Paris,1779,12,1750
1024702502,"Gerardin, Auguste",Mülhausen,1849,2,1800
1024751309,"Hoogstraten, Dirck",Antwerpen,1595,9,1550
1024934322,"Plattner, Franz",Zirl,1823,1,1800
1024988333,"Picart, Etienne",Paris,1632,4,1600
102508542,"Hopfer, Lambert",Augsburg,1471,26,1450
102508542,Monogrammist MTR,Augsburg,1501,1,1500
102508569,Anonym,Augsburg,1500,1,1500
102508569,"Hopfer, Hieronymus",Augsburg,1500,34,1500
102508585,"Hopfer, Daniel",Kaufbeuren,1470,18,1450
1025544765,"Schwemminger, Heinrich",Wien,1803,6,1800
10256194X,"Liefrinck, Hans",Augsburg,1518,2,1500
1025643178,"Tardieu, Nicolas Henri",Paris,1674,12,1650
102573166,"Beaumont, Édouard de",Lannion,1821,48,1800
102675772X,"Stefanoni, Pietro",Vicenza,1589,1,1550
1027625150,"Feuchère, Jean-Jacques",Paris,1807,2,1800
103084053,Anonym,Bad Grönenbach,1739,11,1700
103084053,"Anonym, deutsch, 18. Jahrhundert",Bad Grönenbach,1701,2,1700
103084053,"Anonym, deutsch, 19. Jahrhundert",Bad Grönenbach,1801,1,1800
103084053,"Prestel, Johann Gottlieb",Bad Grönenbach,1739,48,1700
103085432,"Poelenburg, Cornelis van",Utrecht,1586,2,1550
1031177477,"Belliard, Zéphirin Félix Jean Marius",Marseille,1798,4,1750
1031197869,"Chenu, Pierre",Paris,1730,2,1700
103137297,Anonym,Görlitz,1554,1,1550
103137297,"Scharffenberg, Georg",Görlitz,1554,1,1550
103141693,"Bock, Christoph Wilhelm",Nürnberg,1755,2,1750
1031500545,"Lignon, Etienne Frédéric",Paris,1779,5,1750
1031504125,"Alix, Pierre Michel",Paris,1762,8,1750
1032055324,"Bourgeois, Constant",Guiscard,1767,41,1750
1033378852,"Flipart, Jean Jacques",Paris,1719,2,1700
1033471461,"Poilly, François de",Paris,1671,2,1650
1033734438,"Numan, Hermanus",Groningen,1744,1,1700
1033795224,"Argent, Adam Ludwig d'",Stuttgart,1748,1,1700
1033904031,"Lançon, Auguste André",Saint-Claude,1836,17,1800
1034026275,"Sabatier, Léon",Paris,1827,1,1800
1034295136,"Geuder, Hans",Nürnberg-Reichelsdorf,1814,1,1800
1034346784,"Oleszczyński, Antoni",Krasnystaw,1794,1,1750
1034660578,Anonym,Preßburg,1539,1,1500
1034660578,"Brun, Franz Isaac",Preßburg,1539,54,1500
1035269023,"Bass, Johannes",Lübeck,1600,1,1600
1035326191,"Ouvrier, Jean",Paris,1725,2,1700
1035461919,"Viel, Pierre",Paris,1755,1,1750
1035579944,"Marlet, Jean Henri",Autun,1770,1,1750
1036277275,"Plattenberg, Matthieu van",Antwerpen,1608,13,1600
1036384004,"Portier, Adolphe",Paris,1820,1,1800
1036384004,"Riffaut, Adolphe Pierre",Paris,1821,1,1800
1036535533,"Courboin, Franc̜ois",Chaumont-Porcien,1865,2,1850
1036630110,Anonym,Amsterdam,1508,3,1500
1036630110,"Anonym, deutsch, 16. Jahrhundert",Amsterdam,1501,1,1500
1036630110,"Anonym, niederländisch, 16. Jahrhundert",Amsterdam,1501,3,1500
1036630110,Meister A C,Amsterdam,1508,62,1500
1036630110,Monogrammist S,Amsterdam,1508,1,1500
1036634302,"Llanta, Jacques François Gaudérique",Perpignan,1807,1,1800
1036756556,"Beyer, Charles",Meißen,1792,1,1750
1036868575,"Vigneron, Pierre-Roch",Vosnon,1789,5,1750
1037094409,"Gautier d’Agoty, Jean-Baptiste",Paris,1740,2,1700
1037240464,"Audran, Jean",Lyon,1667,10,1650
103728254X,"Clouwet, Peeter",Antwerpen,1629,1,1600
1037332962,"Spilman, Hendricus",Amsterdam,1721,1,1700
1037339835,"Ingouf, Pierre Charles",Paris,1746,3,1700
1037385446,"Macret, Charles François Adrien",Abbeville,1751,1,1750
1037458052,"Abel-Truchet, Louis",Versailles,1857,6,1850
103750746,"Goeree, Jan",Middelburg,1670,1,1650
1037567692,"Mayer, Lucas",Augsburg,1550,6,1550
1037695119,"Delen, Dirck van",Heusden (Nordbrabant),1605,2,1600
1037838076,"Mey, Rafael de",Köln,1580,3,1550
1037851226,"Teply, Joseph",Prag,1814,2,1800
1037992652,"Deifel, Johann Leonhard",Nürnberg,1812,1,1800
1038083508,"Heilbuth, Ferdinand",Hamburg,1826,2,1800
1038357195,"Bovinet, Edme",Chaumont (Haute-Marne),1767,1,1750
1038387183,"Brun, Franz",Straßburg,1579,15,1550
104045469,"Schley, Jacob van der",Amsterdam,1715,13,1700
104058250,"Verkolje, Nicolaas",Delft,1673,2,1650
104114614,"Wierix II, Antonius",Amsterdam,1555,4,1550
104144769,"Desrochers, Étienne Jehandier",Lyon,1668,2,1650
104148187,"Boilly, Julien Léopold",Paris,1796,8,1750
104160802,"Schmidt, Georg Friedrich",Schönerlinde bei Berlin,1712,2,1700
1042042489,"Roger, Barthélemy Joseph Fulcran",Lodève,1770,4,1750
104227818,"Noël, Alphonse Léon",Paris,1807,9,1800
104242337,"Manuel, Hans Rudolf",Erlach (Kanton Bern),1525,1,1500
104243430,"Galle, Cornelis",Antwerpen,1576,4,1550
104243473,"Leu, Thomas de",Paris,1555,1,1550
1042513325,"Tilliard, Jean-Baptiste",Paris,1740,9,1700
104277009,"Boissard, Jean Jacques",Besançon,1528,1,1500
1043022996,"Holsteijn, Pieter",Haarlem,1590,1,1550
104303875,"David, François Anne",Paris,1741,3,1700
104304243,"Verhelst, Aegid",Ettal,1733,2,1700
1043070591,"Wilborn, Nicolaus",Lübeck,1501,18,1500
104310499,"Anonym, französisch, 18. Jahrhundert",Langres,1701,1,1700
104364815,"Français, François Louis",Plombières,1814,37,1800
104372923,"Tanjé, Pieter",Bolsward,1706,5,1700
104377852,"Fokke, Simon",Amsterdam,1712,1,1700
1043782435,"Kolb, August",Heidingsfeld,1816,1,1800
1044202602,"Coupé, Antoine Jean Baptiste",Paris,1784,7,1750
104430698X,"Löwensohn, Gerson",Fürth (Bayern),1817,1,1800
1044592869,"Martszen, Jan",Haarlem,1610,1,1600
1045159832,"Goettich, Paul",Augsburg,1586,1,1550
1045327565,"Cotta, Heinrich",Rudolstadt,1791,1,1750
1045412228,"Le Lorrain, Louis-Joseph",Paris,1715,1,1700
1046391720,"Simonet, Jean-Baptiste Blaise",Paris,1742,2,1700
1047112019,"Bléry, Eugène",Fontainebleau,1805,179,1800
1047205033,"Aubry-Lecomte, Hyacinthe-Louis-Victor-Jean-Baptiste",Nizza,1787,2,1750
1047574144,"Duclos, Antoine Jean",Paris,1742,2,1700
1047968142,"Descourtis, Charles Melchior",Paris,1753,7,1750
1049297334,"Conscience, Francis",Besançon,1794,8,1750
104940730X,"Liotard, Jean-Michel",Genf,1702,1,1700
1049816668,"Cave, François Morellon de la",Den Haag,1696,1,1650
1050206363,"Pollet, Victor Florence",Paris,1811,1,1800
1050425057,"Bourgeois de la Richardiere, Anton Achille",Polná,1777,1,1750
1050425472,"Blot, Maurice",Paris,1753,2,1750
1050468910,"François, Alphonse",Paris,1814,4,1800
1050472047,"Geille, Amédé Felix Barthélemy",La-Ciotat,1802,1,1800
1050530195,"Vallot, Philippe Joseph Auguste",Wien,1796,2,1750
1050549384,"Leguay, Eugène",Paris,1822,1,1800
1050561422,"Hédouin, Edmond",Boulogne-sur-Mer,1820,1,1800
1050695348,"Lafitte, Louis",Paris,1770,1,1750
1050695348,"Simon, Jean Pierre",Paris,1764,1,1750
1050829786,"Fragonard, Théophile",Paris,1806,1,1800
1051486335,"Gauchard, Jean",Paris,1825,1,1800
