artistGNDId,artistName (preferred),placeOfBirth,birth year,num_works,birth_year_span_start,latitude,longitude
100076262,"Caylus, Anne Claude Philippe de",Paris,1692.0,24,1650.0,48.8588897,2.320041
100104401,"Dequevauviller, François",Abbeville,1745.0,1,1700.0,50.1060835,1.8337029
100648916,"Collas, Achille",Paris,1795.0,3,1750.0,48.8588897,2.320041
100786294,"Porret, Henri Désiré",Lille,1800.0,6,1800.0,50.6365654,3.0635282
100811833,"Kraus, Johann Ulrich",Augsburg,1655.0,48,1650.0,48.3690341,10.8979522
100811957,Anonym,Haarlem,1537.0,1,1500.0,52.3837058,4.6435597
100811957,"Anonym, niederländisch, 16. Jahrhundert",Haarlem,1501.0,17,1500.0,52.3837058,4.6435597
100811957,"Cleve III., Hendrik van",Haarlem,1525.0,2,1500.0,52.3837058,4.6435597
100811957,"Galle, Philippe",Haarlem,1537.0,56,1500.0,52.3837058,4.6435597
1011377616,"Loutrel, Victor Jean Baptiste",Antwerpen,1821.0,1,1800.0,51.2211097,4.3997081
1011425661,"Thomassin, Simon Henri",Paris,1687.0,10,1650.0,48.8588897,2.320041
1011425890,"Surugue, Louis",Paris,1686.0,5,1650.0,48.8588897,2.320041
101206003,"Heiden, Jan van der, de Oude",Gorinchem,1637.0,1,1600.0,51.8296133,4.9738743
101211376,"Jode, Pieter de",Antwerpen,1570.0,24,1550.0,51.2211097,4.3997081
101400268,"Gilbert, Achille Isidore",Paris,1828.0,1,1800.0,48.8588897,2.320041
1014141672,"Joyau, Amédée",Nantes,1871.0,3,1850.0,47.2186371,-1.5541362
1015473474,"Beltrand, Jacques",Paris,1874.0,1,1850.0,48.8588897,2.320041
1015704646,"Vidal, Pierre",Tours,1849.0,14,1800.0,47.3900474,0.6889268
1015991920,"Halbou, Louis Michel",Paris,1730.0,2,1700.0,48.8588897,2.320041
1017908443,"Pluth, Caspar",Prag,1766.0,1,1750.0,50.0596288,14.4464593
101911629,"Delafosse, Jean-Baptiste",Paris,1721.0,2,1700.0,48.8588897,2.320041
1019536659,"Schwemminger, Joseph",Wien,1804.0,1,1800.0,48.2083537,16.3725042
1019741066,"Anonym, französisch, 17. Jahrhundert",Caen,1601.0,1,1600.0,49.1813403,-0.3635615
1019741066,"Lasne, Michel",Caen,1590.0,7,1550.0,49.1813403,-0.3635615
1019743069,"Gantrel, Etienne",Toul (Dép.Meurthe-et-Moselle) (od. Metz?),1645.0,1,1600.0,,
1019745665,"Pesne, Jean",Rouen,1623.0,9,1600.0,49.4404591,1.0939658
1019747315,"Nijmegen, Dionys van",Rotterdam,1705.0,1,1700.0,51.9244424,4.47775
101975057X,"Simon, Pierre",Paris,1635.0,1,1600.0,48.8588897,2.320041
1019756551,"Woollett, William",Maidstone,1735.0,2,1700.0,51.2748258,0.5231646
1019758406,"Vivarès, François",Lodève,1709.0,3,1700.0,43.73106,3.31892
1020481161,"Schalch, Johann Jakob",Schaffhausen,1723.0,1,1700.0,47.6960491,8.634513
1021696404,"Ambrosi, Francesco",Bassano del Grappa,1751.0,1,1750.0,45.7669109,11.7343469
1022471392,"Cochin, Louise-Madeleine",Paris,1686.0,2,1650.0,48.8588897,2.320041
102334331,"Anonym, niederländisch, 17. Jahrhundert",Leiden,1601.0,1,1600.0,52.1594747,4.4908843
102334331,"Swanenburg, Willem",Leiden,1580.0,9,1550.0,52.1594747,4.4908843
102359229,"Anonym, deutsch, 15. Jahrhundert",Straßburg,1401.0,3,1400.0,48.584614,7.7507127
1023881780,"Stimmer, Hans Christoffel",Schaffhausen,1549.0,8,1500.0,47.6960491,8.634513
1023896532,"Quesnel, François",Edinburgh,1543.0,1,1500.0,55.9533456,-3.1883749
102430896,Anonym,Köln,1500.0,8,1500.0,50.938361,6.959974
102430896,"Anonym, deutsch, 16. Jahrhundert",Köln,1501.0,6,1500.0,50.938361,6.959974
102430896,"Binck, Jakob",Köln,1500.0,114,1500.0,50.938361,6.959974
102430896,Monogrammist IVM,Köln,1501.0,1,1500.0,50.938361,6.959974
102430896,Monogrammist RE,Köln,1501.0,1,1500.0,50.938361,6.959974
102431108,"Basan, François",Paris,1723.0,16,1700.0,48.8588897,2.320041
102431655,"Canot, Pierre Charles",Paris,1710.0,15,1700.0,48.8588897,2.320041
